"STATION","NAME","DATE","ACMH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-10",,," 2350"," 0017","0.0","0.0","0.0",,"9.4","-2.2",,"  290",,,"  293","7.2",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-11",,," 0050"," 0043","0.8","0.0","0.0",,"12.2","3.9",,"  250",,,"  248","6.7",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-12",,," 1350"," 1336","0.0","0.0","0.0",,"20.0","6.7",,"  310",,,"  315","8.9",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-13",,," 1150"," 1202","0.0","0.0","0.0",,"16.1","8.9",,"   50",,,"   45","8.0",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-14",,," 0150"," 0257","0.0","0.0","0.0",,"8.9","6.7",,"   50",,,"   45","7.6",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-15",,," 2150"," 2135","7.1","0.0","0.0",,"13.3","7.8",,"   50",,,"  315","5.4",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-16",,," 2350"," 2221","0.3","0.0","0.0",,"23.9","10.0",,"  310",,,"  270","6.7",,,"15.9",,,"    1",,,,,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-17",,," 1650"," 0303","0.0","0.0","0.0",,"15.0","5.6",,"  300",,,"  293","6.7",,,"12.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-18",,," 1950"," 1233","0.0","0.0","0.0",,"20.0","7.2",,"  220",,,"  135","6.3",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-19",,," 1350"," 1444","9.9","0.0","0.0",,"31.1","18.3",,"   50",,,"   45","5.4",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-20",,," 0750"," 0635","0.0","0.0","0.0",,"19.4","11.1",,"   50",,,"   45","7.6",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-21",,," 1950"," 1858","0.0","0.0","0.0",,"28.3","11.1",,"  130",,,"  135","4.5",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-22",,," 1850"," 1648","3.3","0.0","0.0",,"29.4","11.7",,"  190",,,"  180","6.7",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-23",,," 1450"," 2139","0.0","0.0","0.0",,"18.3","10.6",,"   40",,,"  113","5.4",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-24",,," 0650"," 0148","0.0","0.0","0.0",,"11.7","9.4",,"   90",,,"   45","5.4",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-25",,," 1750"," 1805","0.5","0.0","0.0",,"16.7","9.4",,"  280",,,"  270","4.5",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-26",,," 1350"," 1354","0.0","0.0","0.0",,"26.7","13.9",,"  300",,,"  293","6.7",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-27",,," 0850"," 0822","0.0","0.0","0.0",,"20.6","13.9",,"  300",,,,"7.2",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-28",,," 2050"," 2015","0.3","0.0","0.0",,"20.0","11.1",,"  310",,,"  315","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-29",,," 0850"," 0857","0.0","0.0","0.0",,"22.2","8.3",,"   40",,,"   45","6.3",,,"10.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-04-30",,," 2250"," 2016","0.0","0.0","0.0",,"28.9","12.8",,"  240",,,"  225","6.7",,,"8.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-05-01",,," 2350"," 1739","0.8","0.0","0.0",,"28.9","13.9",,"   50",,,"  360","6.3",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-05-02",,," 1450"," 0903","21.1","0.0","0.0",,"13.9","8.3",,"   40",,,"   45","8.0",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-05-03",,," 0750"," 1031","42.2","0.0","0.0",,"11.7","6.7",,"   50",,,"  360","9.4",,,"14.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-05-04",,," 1350"," 2257","0.0","0.0","0.0",,"21.1","6.1",,"  210",,,"  225","6.3",,,"9.3",,,,,,,,,,,,,,,,,,,
